Timestamp	Horizontal A.E.	Vertical A.E.	Horizontal M.E.	Vertical M.E.	Date	Time
 3601494003.050	   96.239500	   -0.000300	       18995	       26464	15/02/2018	00:00:03
 3601494603.097	   96.239500	   -0.000300	       18995	       26464	15/02/2018	00:10:03
 3601495203.582	   96.239500	   -0.000300	       18995	       26464	15/02/2018	00:20:03
 3601495803.597	   96.239500	   -0.000300	       18995	       26464	15/02/2018	00:30:03
 3601496403.597	   96.239500	   -0.000300	       18995	       26464	15/02/2018	00:40:03
 3601497004.097	   96.239500	   -0.000300	       18995	       26464	15/02/2018	00:50:04
 3601497604.582	   96.239500	   -0.000300	       18995	       26464	15/02/2018	01:00:04
 3601498204.582	   96.239500	   -0.000300	       18995	       26464	15/02/2018	01:10:04
 3601498804.582	   96.239500	   -0.000300	       18995	       26464	15/02/2018	01:20:04
 3601499404.582	   96.239500	   -0.000300	       18995	       26464	15/02/2018	01:30:04
 3601500004.582	   96.239500	   -0.000300	       18995	       26464	15/02/2018	01:40:04
 3601500604.597	   96.239500	   -0.000300	       18995	       26464	15/02/2018	01:50:04
 3601501205.082	   96.239500	   -0.000300	       18995	       26464	15/02/2018	02:00:05
 3601501805.082	   96.239500	   -0.000300	       18995	       26464	15/02/2018	02:10:05
 3601502405.097	   96.239500	   -0.000300	       18995	       26464	15/02/2018	02:20:05
 3601503005.582	   96.239500	   -0.000300	       18995	       26464	15/02/2018	02:30:05
 3601503605.582	   96.239500	   -0.000300	       18995	       26464	15/02/2018	02:40:05
 3601504205.597	   96.239500	   -0.000300	       18995	       26464	15/02/2018	02:50:05
 3601504806.082	   96.239500	   -0.000300	       18995	       26464	15/02/2018	03:00:06
 3601505406.082	   96.239500	   -0.000300	       18995	       26464	15/02/2018	03:10:06
 3601506006.097	   96.239500	   -0.000300	       18995	       26464	15/02/2018	03:20:06
 3601506606.582	   96.239500	   -0.000400	       18995	       26464	15/02/2018	03:30:06
 3601507206.582	   96.239500	   -0.000300	       18995	       26464	15/02/2018	03:40:06
 3601507806.582	   96.239500	   -0.000300	       18995	       26464	15/02/2018	03:50:06
 3601508406.582	   96.239500	   -0.000300	       18995	       26464	15/02/2018	04:00:06
 3601509006.582	   96.239500	   -0.000300	       18995	       26464	15/02/2018	04:10:06
 3601509606.582	   96.239500	   -0.000300	       18995	       26464	15/02/2018	04:20:06
 3601510206.582	   96.239500	   -0.000300	       18995	       26464	15/02/2018	04:30:06
 3601510806.582	   96.239500	   -0.000300	       18995	       26464	15/02/2018	04:40:06
 3601511406.582	   96.239500	   -0.000300	       18995	       26464	15/02/2018	04:50:06
 3601512006.582	   96.239500	   -0.000300	       18995	       26464	15/02/2018	05:00:06
 3601512606.582	   96.239500	   -0.000300	       18995	       26464	15/02/2018	05:10:06
 3601513206.582	   96.239500	   -0.000300	       18995	       26464	15/02/2018	05:20:06
 3601513806.652	   96.239500	   -0.000300	       18995	       26464	15/02/2018	05:30:06
 3601514406.661	   96.239500	   -0.000300	       18995	       26464	15/02/2018	05:40:06
 3601515006.662	   96.239500	   -0.000300	       18995	       26464	15/02/2018	05:50:06
 3601515606.662	   96.239500	   -0.000300	       18995	       26464	15/02/2018	06:00:06
 3601516206.662	   96.239500	   -0.000300	       18995	       26464	15/02/2018	06:10:06
 3601516806.662	   96.239500	   -0.000300	       18995	       26464	15/02/2018	06:20:06
 3601517406.686	   96.239500	   -0.000200	       18995	       26464	15/02/2018	06:30:06
 3601517498.155	   96.239500	   -0.000300	       18995	       26462	15/02/2018	06:31:38
 3601517498.655	   96.239500	   -0.000400	       18995	       26459	15/02/2018	06:31:38
 3601517499.655	   96.239000	   -0.000800	       18994	       26452	15/02/2018	06:31:39
 3601517500.655	   96.238000	   -0.001600	       18993	       26442	15/02/2018	06:31:40
 3601517501.655	   96.235000	   -0.003200	       18991	       26430	15/02/2018	06:31:41
 3601517502.655	   96.231500	   -0.006700	       18990	       26414	15/02/2018	06:31:42
 3601517503.655	   96.226500	   -0.010900	       18987	       26395	15/02/2018	06:31:43
 3601517504.671	   96.221000	   -0.017200	       18985	       26375	15/02/2018	06:31:44
 3601517505.655	   96.214500	   -0.023000	       18982	       26356	15/02/2018	06:31:45
 3601517506.655	   96.207500	   -0.028800	       18980	       26335	15/02/2018	06:31:46
 3601517507.655	   96.200000	   -0.034900	       18977	       26316	15/02/2018	06:31:47
 3601517508.655	   96.193000	   -0.041000	       18974	       26295	15/02/2018	06:31:48
 3601517509.655	   96.186000	   -0.046900	       18972	       26276	15/02/2018	06:31:49
 3601517510.655	   96.179000	   -0.052400	       18969	       26255	15/02/2018	06:31:50
 3601517511.655	   96.172000	   -0.059100	       18966	       26234	15/02/2018	06:31:51
 3601517512.655	   96.164500	   -0.064800	       18963	       26215	15/02/2018	06:31:52
 3601517513.655	   96.157500	   -0.070500	       18961	       26194	15/02/2018	06:31:53
 3601517514.655	   96.150500	   -0.077100	       18958	       26174	15/02/2018	06:31:54
 3601517515.655	   96.143500	   -0.083000	       18956	       26154	15/02/2018	06:31:55
 3601517516.655	   96.136500	   -0.088800	       18953	       26134	15/02/2018	06:31:56
 3601517517.655	   96.129500	   -0.095000	       18950	       26113	15/02/2018	06:31:57
 3601517518.655	   96.122500	   -0.101100	       18948	       26093	15/02/2018	06:31:58
 3601517519.655	   96.115500	   -0.107100	       18945	       26073	15/02/2018	06:31:59
 3601517520.655	   96.108500	   -0.112600	       18942	       26053	15/02/2018	06:32:00
 3601517521.655	   96.101500	   -0.119200	       18939	       26033	15/02/2018	06:32:01
 3601517522.655	   96.094500	   -0.125100	       18937	       26012	15/02/2018	06:32:02
 3601517523.655	   96.088000	   -0.130700	       18934	       25992	15/02/2018	06:32:03
 3601517524.655	   96.081000	   -0.137400	       18931	       25971	15/02/2018	06:32:04
 3601517525.655	   96.074000	   -0.143200	       18929	       25951	15/02/2018	06:32:05
 3601517526.655	   96.067000	   -0.149000	       18926	       25932	15/02/2018	06:32:06
 3601517527.655	   96.060000	   -0.155300	       18923	       25911	15/02/2018	06:32:07
 3601517528.655	   96.053000	   -0.161400	       18921	       25892	15/02/2018	06:32:08
 3601517529.655	   96.046000	   -0.167300	       18918	       25871	15/02/2018	06:32:09
 3601517530.655	   96.039000	   -0.173000	       18915	       25852	15/02/2018	06:32:10
 3601517531.655	   96.032000	   -0.179600	       18912	       25831	15/02/2018	06:32:11
 3601517532.655	   96.025000	   -0.185500	       18910	       25811	15/02/2018	06:32:12
 3601517533.655	   96.018000	   -0.191000	       18907	       25791	15/02/2018	06:32:13
 3601517534.655	   96.011000	   -0.197700	       18905	       25770	15/02/2018	06:32:14
 3601517535.655	   96.004000	   -0.203600	       18902	       25751	15/02/2018	06:32:15
 3601517536.655	   95.996500	   -0.209300	       18899	       25730	15/02/2018	06:32:16
 3601517537.655	   95.989500	   -0.215600	       18896	       25711	15/02/2018	06:32:17
 3601517538.655	   95.982500	   -0.221700	       18894	       25690	15/02/2018	06:32:18
 3601517539.655	   95.975500	   -0.227700	       18891	       25669	15/02/2018	06:32:19
 3601517540.655	   95.968500	   -0.233400	       18888	       25649	15/02/2018	06:32:20
 3601517541.655	   95.961500	   -0.240000	       18886	       25629	15/02/2018	06:32:21
 3601517542.655	   95.954500	   -0.246000	       18883	       25609	15/02/2018	06:32:22
 3601517543.655	   95.947500	   -0.251400	       18880	       25589	15/02/2018	06:32:23
 3601517544.655	   95.940500	   -0.258300	       18878	       25569	15/02/2018	06:32:24
 3601517545.655	   95.933500	   -0.264100	       18875	       25548	15/02/2018	06:32:25
 3601517546.655	   95.926500	   -0.269800	       18872	       25528	15/02/2018	06:32:26
 3601517547.655	   95.919500	   -0.276300	       18870	       25508	15/02/2018	06:32:27
 3601517548.655	   95.914500	   -0.282200	       18869	       25488	15/02/2018	06:32:28
 3601517549.655	   95.910500	   -0.288200	       18868	       25468	15/02/2018	06:32:29
 3601517550.655	   95.908000	   -0.294200	       18867	       25448	15/02/2018	06:32:30
 3601517551.655	   95.906500	   -0.300500	       18867	       25427	15/02/2018	06:32:31
 3601517552.655	   95.906500	   -0.306500	       18868	       25407	15/02/2018	06:32:32
 3601517553.655	   95.906500	   -0.312100	       18868	       25387	15/02/2018	06:32:33
 3601517554.655	   95.907500	   -0.318700	       18868	       25367	15/02/2018	06:32:34
 3601517555.655	   95.908000	   -0.324500	       18868	       25347	15/02/2018	06:32:35
 3601517556.655	   95.908000	   -0.330200	       18869	       25327	15/02/2018	06:32:36
 3601517557.655	   95.909000	   -0.336800	       18870	       25307	15/02/2018	06:32:37
 3601517558.655	   95.910500	   -0.342600	       18870	       25286	15/02/2018	06:32:38
 3601517559.655	   95.911500	   -0.348600	       18871	       25266	15/02/2018	06:32:39
 3601517560.655	   95.913000	   -0.354700	       18871	       25246	15/02/2018	06:32:40
 3601517561.655	   95.914000	   -0.360900	       18872	       25225	15/02/2018	06:32:41
 3601517562.655	   95.915500	   -0.366900	       18872	       25205	15/02/2018	06:32:42
 3601517563.655	   95.917000	   -0.372500	       18873	       25185	15/02/2018	06:32:43
 3601517564.655	   95.918000	   -0.379200	       18874	       25164	15/02/2018	06:32:44
