# pulse height: 35
# THL 	 Mean hits
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1.00391
311	1.00391
312	1
313	1.00781
314	1.00391
315	1
316	1.00781
317	1.01563
318	1.01563
319	1.03906
320	1.04297
321	1.10547
322	1.14453
323	1.21875
324	1.25
325	1.32813
326	1.4375
327	1.46094
328	1.62891
329	1.76562
330	2.18359
331	2.37109
332	2.72656
333	3.98047
334	5.59375
335	7.84375
336	12.6211
337	22.375
338	34.2852
339	52.0937
340	86.4922
341	129.566
342	180.625
343	248.691
344	321.859
345	392.52
346	482.016
347	578.375
348	637.082
349	716.914
350	781.246
351	843.195
352	893.141
353	926.805
354	953.355
355	971.684
356	985.68
357	992.383
358	996.996
359	998.762
360	999.938
361	1000.55
362	1000.77
363	1000.89
364	1000.96
365	1001.01
366	1001.02
367	1001.05
368	1001.04
369	1001.06
370	1001.06
371	1001.08
372	1001.09
373	1001.14
374	1001.16
375	1001.26
376	1001.22
377	1001.35
378	1001.48
379	1001.64
380	1001.89
381	1002.28
382	1002.68
383	1003.16
384	1003.86
385	1005.82
386	1007.11
387	1010.38
388	1018.38
389	1031.2
390	1060.04
391	1089.84
392	1182.92
393	1329.31
394	1564.92
395	1931.67
396	2428.93
397	3172.06
398	3948.19
399	4678.67
400	4928
401	5541.42
402	5770.9
403	5600.8
404	5258.73
405	4782.01
406	4023.8
407	3353.41
408	2780.69
409	2200.25
410	1744.19
411	1501.84
412	1359.56
413	1181.75
414	1094.3
415	1048.84
416	1020.22
417	1010.23
418	1003.35
419	1001.51
420	1000.64
421	1000.2
422	1000.08
423	1000.03
424	1000
425	1000.01
426	1000.01
427	1000
428	1000
429	1000
430	1000
431	1000
432	1000
433	1000
434	1000
435	1000
436	1000
437	1000
438	1000
439	1000
440	1000
441	1000
442	1000
443	1000
444	999.992
445	1000
446	999.961
447	999.961
448	999.855
449	999.473
450	998.922
451	998.262
452	996.016
453	992.656
454	984.328
455	978.355
456	958.535
457	939.422
458	904.191
459	854
460	787.742
461	726.195
462	642.91
463	542.598
464	449.434
465	354.914
466	300.879
467	249.789
468	181.207
469	120.957
470	97.4102
471	61.5938
472	42.7891
473	25.7344
474	14.3359
475	8.97656
476	4.10547
477	1.89844
478	1.09375
479	0.46875
480	0.320312
481	0.09375
482	0.0390625
483	0.0117188
484	0
485	0.00390625
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0.25
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0.5
551	0
552	0
553	0
554	0.25
555	0
556	0
557	0
558	0.5
559	0.25
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0.25
569	0
570	0.25
571	0
572	0
573	0
574	1
575	0.5
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
