timestamp,medianEnergy,RunPeriod
1.5094e+09,2.9426e-06,30/10/2017
1.5094e+09,3.0587e-06,30/10/2017
1.5094e+09,3.1877e-06,30/10/2017
1.5094e+09,2.9159e-06,30/10/2017
1.5094e+09,3.2046e-06,30/10/2017
1.5094e+09,2.8954e-06,30/10/2017
1.5094e+09,3.2369e-06,30/10/2017
1.5094e+09,2.9087e-06,30/10/2017
1.5094e+09,3.1939e-06,30/10/2017
1.5094e+09,2.8115e-06,30/10/2017
1.5094e+09,2.6977e-06,30/10/2017
1.5094e+09,3.0585e-06,30/10/2017
1.5094e+09,3.0314e-06,30/10/2017
1.5094e+09,2.8803e-06,30/10/2017
1.5094e+09,2.8959e-06,30/10/2017
1.5094e+09,2.821e-06,30/10/2017
1.5094e+09,2.978e-06,30/10/2017
1.5094e+09,2.9267e-06,30/10/2017
1.5094e+09,2.8683e-06,30/10/2017
1.5094e+09,3.4189e-06,30/10/2017
1.5094e+09,3.1427e-06,30/10/2017
1.5094e+09,3.0922e-06,30/10/2017
1.5094e+09,2.9373e-06,30/10/2017
1.5094e+09,3.128e-06,30/10/2017
1.5095e+09,3.0504e-06,30/10/2017
1.5095e+09,3.0115e-06,30/10/2017
1.5095e+09,2.6952e-06,30/10/2017
1.5095e+09,2.7564e-06,30/10/2017
1.5095e+09,2.9748e-06,30/10/2017
1.5095e+09,2.6603e-06,30/10/2017
1.5095e+09,3.1919e-06,30/10/2017
1.5095e+09,3.0649e-06,30/10/2017
1.5095e+09,2.6585e-06,30/10/2017
1.5095e+09,3.1949e-06,30/10/2017
1.5095e+09,2.7954e-06,30/10/2017
1.5095e+09,3.3507e-06,30/10/2017
1.5095e+09,3.0126e-06,30/10/2017
1.5095e+09,3.0733e-06,30/10/2017
1.5095e+09,2.9153e-06,30/10/2017
1.5095e+09,3.1593e-06,30/10/2017
1.5095e+09,3.2474e-06,30/10/2017
1.5095e+09,3.0879e-06,30/10/2017
1.5095e+09,2.8675e-06,30/10/2017
1.5095e+09,2.986e-06,30/10/2017
1.5095e+09,2.7901e-06,30/10/2017
1.5095e+09,2.9337e-06,30/10/2017
1.5095e+09,3.0589e-06,30/10/2017
1.5095e+09,2.9641e-06,30/10/2017
1.5095e+09,2.9774e-06,30/10/2017
1.5095e+09,2.9499e-06,30/10/2017
1.5095e+09,2.7865e-06,30/10/2017
1.5095e+09,3.0428e-06,30/10/2017
1.5095e+09,2.929e-06,30/10/2017
