E [V•cm⁻¹],T [K],v [mm•μs⁻¹],Δv [mm•μs⁻¹],σT [μm•√cm],ΔσT [μm•√cm],σL [μm•√cm],ΔσL [μm•√cm],σT_σL [UnitLess],ΔσT_σL [UnitLess]
500,339.15,22.03,0.003971,678.8,12.36,268.6,1.577,2.527,0.04836
500,327.15,22.26,0.007001,682.3,8.391,276.8,5.387,2.465,0.05675
500,333.15,22.15,0.004976,687.5,12.78,268.2,5.059,2.563,0.06788
500,301.15,22.83,0.005237,634.9,8.775,268.8,5.966,2.362,0.06177
500,331.15,22.19,0.004252,667.3,10,271.7,5.995,2.456,0.06553
500,299.15,22.87,0.006585,644.2,8.712,266,5.05,2.422,0.05647
500,303.15,22.77,0.004026,666.6,11.95,262.5,5.611,2.539,0.07082
500,315.15,22.51,0.003245,654.7,6.913,272.4,4.323,2.404,0.04582
500,297.15,22.91,0.004938,651.2,9.719,256.3,4.147,2.541,0.05592
500,323.15,22.34,0.004044,677.5,11.4,268.3,7.244,2.525,0.08031
500,313.15,22.55,0.006531,662.1,9.911,276.2,2.492,2.397,0.0419
500,307.15,22.68,0.006308,636.6,7.968,255.4,4.085,2.492,0.05062
500,295.15,22.97,0.006927,645.9,11.54,265.8,5.541,2.43,0.06669
500,321.15,22.38,0.003359,670.2,8.075,273.7,5.239,2.448,0.05538
500,293.15,23.02,0.003118,644.4,9.784,247.9,4.734,2.599,0.06341
500,311.15,22.6,0.00569,657.9,9.425,267.1,4.94,2.463,0.05762
500,291.15,23.08,0.004498,633.5,6.898,259.7,5.395,2.44,0.05723
500,319.15,22.42,0.006516,681.8,9.411,262.8,5.417,2.594,0.06435
500,289.15,23.12,0.005422,630.8,9.013,262.3,2.772,2.405,0.04274
500,335.15,22.11,0.004721,702,12.24,278.4,5.446,2.522,0.06608
500,343.15,21.96,0.005118,696.6,10.09,274.8,6.297,2.535,0.06872
500,341.15,21.99,0.005645,697,9.502,270.7,6.403,2.575,0.07031
500,309.15,22.64,0.006007,664.6,12.21,268.8,5.45,2.472,0.06764
500,325.15,22.3,0.005307,677.6,12.87,266.5,4.755,2.543,0.06627
500,305.15,22.72,0.006522,657.6,11.2,263.9,6.507,2.492,0.07468
500,329.15,22.22,0.002777,679.1,12.39,273.3,6.701,2.485,0.07594
500,337.15,22.07,0.00542,676.4,11.17,274.1,8.952,2.467,0.09028
500,317.15,22.46,0.005834,682,12.92,263,5.929,2.593,0.07637
