Energy,Counts,CountErr,Rate,totalTime,RateErr,File,ε_total,ε_eff,Classifier,Scinti,FADC,Septem,Line
0,0,0,0,3158.0066,0,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
0.2,8,2.8284271,1.4073575e-05,3158.0066,0.49757603,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
0.4,11,3.3166248,1.9351166e-05,3158.0066,0.58345961,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
0.6,11,3.3166248,1.9351166e-05,3158.0066,0.58345961,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
0.8,4,2,7.0367877e-06,3158.0066,0.35183938,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
1,2,1.4142136,3.51839385e-06,3158.0066,0.24878801,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
1.2,2,1.4142136,3.51839385e-06,3158.0066,0.24878801,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
1.4,2,1.4142136,3.51839385e-06,3158.0066,0.24878801,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
1.6,5,2.236068,8.79598462e-06,3158.0066,0.39336839,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
1.8,8,2.8284271,1.4073575e-05,3158.0066,0.49757603,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
2,6,2.4494897,1.0555182e-05,3158.0066,0.43091348,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
2.2,3,1.7320508,5.27759077e-06,3158.0066,0.30470185,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
2.4,1,1,1.75919692e-06,3158.0066,0.17591969,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
2.6,8,2.8284271,1.4073575e-05,3158.0066,0.49757603,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
2.8,5,2.236068,8.79598462e-06,3158.0066,0.39336839,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
3,32,5.6568542,5.6294302e-05,3158.0066,0.99515206,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
3.2,23,4.7958315,4.0461529e-05,3158.0066,0.84368121,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
3.4,15,3.8729833,2.6387954e-05,3158.0066,0.68133404,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
3.6,11,3.3166248,1.9351166e-05,3158.0066,0.58345961,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
3.8,13,3.6055513,2.286956e-05,3158.0066,0.63428747,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
4,5,2.236068,8.79598462e-06,3158.0066,0.39336839,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
4.2,1,1,1.75919692e-06,3158.0066,0.17591969,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
4.4,0,0,0,3158.0066,0,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
4.6,3,1.7320508,5.27759077e-06,3158.0066,0.30470185,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
4.8,3,1.7320508,5.27759077e-06,3158.0066,0.30470185,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
5,1,1,1.75919692e-06,3158.0066,0.17591969,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
5.2,4,2,7.0367877e-06,3158.0066,0.35183938,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
5.4,4,2,7.0367877e-06,3158.0066,0.35183938,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
5.6,3,1.7320508,5.27759077e-06,3158.0066,0.30470185,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
5.8,5,2.236068,8.79598462e-06,3158.0066,0.39336839,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
6,4,2,7.0367877e-06,3158.0066,0.35183938,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
6.2,5,2.236068,8.79598462e-06,3158.0066,0.39336839,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
6.4,3,1.7320508,5.27759077e-06,3158.0066,0.30470185,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
6.6,3,1.7320508,5.27759077e-06,3158.0066,0.30470185,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
6.8,1,1,1.75919692e-06,3158.0066,0.17591969,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
7,3,1.7320508,5.27759077e-06,3158.0066,0.30470185,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
7.2,3,1.7320508,5.27759077e-06,3158.0066,0.30470185,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
7.4,2,1.4142136,3.51839385e-06,3158.0066,0.24878801,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
7.6,2,1.4142136,3.51839385e-06,3158.0066,0.24878801,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
