Run number,Date,Temp / °,Notes
76,<2017-10-17 Tue 05:00>,-,Not written down yet
77,<2017-11-02 Thu 05:25>,40.50,
78,<2017-11-03 Fri 05:25>,40.30,
79,<2017-11-04 Sat 05:30>,40.63,
80,<2017-11-05 Sun 05:30>,40.80,
81,<2017-11-06 Mon 06:07>,40.27,
82,<2017-11-07 Tue 06:00>,40.10,
82,<2017-11-08 Wed 05:32>,-,Wrote 2nd val: 22.73
84,<2017-11-09 Thu 05:33>,40.22,
86,<2017-11-10 Fri 05:32>,40.13,
87,<2017-11-11 Sat 05:36>,40.00,
87,<2017-11-12 Sun 06:07>,40.31,
89,<2017-11-13 Mon 05:40>,39.87,
90,<2017-11-14 Tue 05:40>,39.74,
91,<2017-11-15 Wed 05:35>,39.68,
92,<2017-11-17 Fri 05:36>,39.72,
94,<2017-11-18 Sat 05:38>,39.72,
95,<2017-11-19 Sun 05:44>,39.70,
97,<2017-11-25 Sat 05:52>,40.35,
98,<2017-11-26 Sun 06:28>,39.70,
99,<2017-11-27 Mon 06:25>,39.61,
100,<2017-11-28 Tue 06:35>,38.93,
101,<2017-11-29 Wed 06:35>,38.72,
103,<2017-11-30 Thu 06:32>,39.70,
104,<2017-12-01 Fri 06:42>,38.68,
105,<2017-12-02 Sat 06:40>,39.46,
106,<2017-12-03 Sun 06:36>,39.46,
107,<2017-12-04 Mon 06:50>,38.67,
109,<2017-12-05 Tue 06:35>,38.31,
112,<2017-12-07 Thu 06:45>,38.46,
112,<2017-12-09 Sat 06:38>,39.79,
113,<2017-12-10 Sun 06:37>,38.56,
114,<2017-12-11 Mon 06:45>,38.86,
115,<2017-12-12 Tue 06:45>,39.86,
117,<2017-12-13 Wed 06:41>,39.71,
119,<2017-12-14 Thu 06:42>,40.32,
121,<2017-12-15 Fri 06:45>,39.95,
123,<2017-12-16 Sat 06:42>,40.03,
124,<2017-12-17 Sun 06:47>,39.96,
124,<2017-12-18 Mon 06:45>,40.07,
125,<2017-12-19 Tue 06:44>,40.61,
127,<2017-12-20 Wed 06:46>,40.75,
137,<2018-02-15 Thu 05:48>,-,"Start of 2018 data taking, temp readout broken"
140,<2018-02-16 Fri 05:44>,-,
146,<2018-02-18 Sun 06:15>,-,
148,<2018-02-19 Mon 06:12>,-,
150,<2018-02-20 Tue 06:00>,-,
152,<2018-02-21 Wed 06:12>,-,
154,<2018-02-22 Thu 06:14>,-,
156,<2018-02-23 Fri 05:58>,-,
158,<2018-02-24 Sat 06:15>,-,
160,<2018-02-28 Wed 06:01>,-,
162,<2018-03-02 Fri 05:58>,-,
162,<2018-03-03 Sat 06:03>,-,
162,<2018-03-04 Sun 05:57>,-,
164,<2018-03-05 Mon 06:00>,-,
164,<2018-03-06 Tue 06:00>,-,
