Energy[keV],EffectiveArea[cm²]
1,8.022
1.011,8.051
1.022,8.051
1.034,8.051
1.045,8.051
1.056,8.051
1.067,8.051
1.079,8.08
1.09,8.08
1.101,8.08
1.112,8.086
1.123,8.104
1.135,8.104
1.146,8.104
1.157,8.098
1.168,8.104
1.18,8.121
1.191,8.127
1.202,8.127
1.213,8.133
1.224,8.139
1.236,8.144
1.247,8.139
1.258,8.139
1.269,8.139
1.281,8.144
1.292,8.144
1.303,8.156
1.314,8.15
1.325,8.15
1.337,8.15
1.348,8.15
1.359,8.144
1.37,8.15
1.381,8.15
1.393,8.162
1.404,8.162
1.415,8.168
1.426,8.168
1.438,8.168
1.449,8.162
1.46,8.168
1.471,8.168
1.482,8.174
1.494,8.168
1.505,8.174
1.516,8.156
1.527,8.156
1.539,8.156
1.55,8.156
1.561,8.156
1.572,8.156
1.583,8.144
1.595,8.144
1.606,8.127
1.617,8.121
1.628,8.127
1.64,8.127
1.651,8.127
1.662,8.139
1.673,8.115
1.684,8.109
1.696,8.109
1.707,8.109
1.718,8.08
1.729,8.08
1.741,8.08
1.752,8.08
1.763,8.086
1.774,8.069
1.785,8.045
1.797,8.051
1.808,8.051
1.819,7.987
1.83,7.987
1.842,7.987
1.853,7.987
1.864,7.987
1.875,7.952
1.886,7.934
1.898,7.934
1.909,7.923
1.92,7.835
1.931,7.835
1.942,7.835
1.954,7.835
1.965,7.835
1.976,7.73
1.987,7.736
1.999,7.736
2.01,7.73
2.021,6.838
2.032,6.844
2.043,6.844
2.055,6.844
2.066,6.844
2.077,5.935
2.088,5.947
2.1,5.935
2.111,5.929
2.122,4.973
2.133,4.973
2.144,4.973
2.156,4.973
2.167,4.973
2.178,4.017
2.189,4.005
2.201,4.005
2.212,4.023
2.223,4.885
2.234,4.885
2.245,4.885
2.257,4.885
2.268,4.885
2.279,5.754
2.29,5.766
2.302,5.766
2.313,5.812
2.324,5.824
2.335,5.812
2.346,5.812
2.358,5.812
2.369,5.812
2.38,5.865
2.391,5.859
2.403,5.865
2.414,5.865
2.425,5.859
2.436,5.859
2.447,5.859
2.459,5.859
2.47,5.859
2.481,5.859
2.492,5.853
2.504,5.853
2.515,5.783
2.526,5.789
2.537,5.789
2.548,5.795
2.56,5.789
2.571,5.789
2.582,5.731
2.593,5.725
2.604,5.719
2.616,5.579
2.627,5.579
2.638,5.579
2.649,5.579
2.661,5.579
2.672,5.463
2.683,5.445
2.694,5.433
2.705,5.433
2.717,5.422
2.728,5.422
2.739,5.422
2.75,5.422
2.762,5.428
2.773,5.422
2.784,5.41
2.795,5.41
2.806,5.41
2.818,5.369
2.829,5.364
2.84,5.364
2.851,5.369
2.863,5.381
