Energy[keV],EffectiveArea[cm²]
0,4.313
0.01096,4.372
0.02193,4.425
0.03289,4.567
0.04386,4.679
0.05482,4.792
0.06579,4.904
0.07675,5.069
0.08772,5.176
0.09868,5.264
0.1096,5.412
0.1206,5.495
0.1316,5.566
0.1425,5.637
0.1535,5.702
0.1645,5.761
0.1754,5.82
0.1864,5.873
0.1974,5.92
0.2083,5.968
0.2193,6.021
0.2303,6.044
0.2412,5.991
0.2522,5.956
0.2632,5.914
0.2741,5.873
0.2851,5.903
0.2961,5.973
0.307,5.985
0.318,5.991
0.3289,6.027
0.3399,6.074
0.3509,6.092
0.3618,6.092
0.3728,6.139
0.3838,6.168
0.3947,6.18
0.4057,6.192
0.4167,6.21
0.4276,6.257
0.4386,6.263
0.4496,6.287
0.4605,6.322
0.4715,6.328
0.4825,6.34
0.4934,6.357
0.5044,6.363
0.5154,6.375
0.5263,6.387
0.5373,6.399
0.5482,6.405
0.5592,6.417
0.5702,6.44
0.5811,6.446
0.5921,6.47
0.6031,6.476
0.614,6.482
0.625,6.529
0.636,6.529
0.6469,6.535
0.6579,6.558
0.6689,6.558
0.6798,6.57
0.6908,6.612
0.7018,6.612
0.7127,6.629
0.7237,6.635
0.7346,6.635
0.7456,6.635
0.7566,6.641
0.7675,6.659
0.7785,6.671
0.7895,6.694
0.8004,6.712
0.8114,6.73
0.8224,6.73
0.8333,6.747
0.8443,6.771
0.8553,6.771
0.8662,6.771
0.8772,6.771
0.8882,6.777
0.8991,6.783
0.9101,6.783
0.9211,6.795
0.932,6.801
0.943,6.812
0.9539,6.824
0.9649,6.83
0.9759,6.842
0.9868,6.842
0.9978,6.848
1.009,6.842
1.02,6.836
1.031,6.836
1.042,6.824
1.053,6.824
1.064,6.83
1.075,6.842
1.086,6.842
1.096,6.854
1.107,6.86
1.118,6.877
1.129,6.877
1.14,6.883
1.151,6.883
1.162,6.877
1.173,6.877
1.184,6.877
1.195,6.877
1.206,6.877
1.217,6.883
1.228,6.883
