# Energy/eV     Transmission
# C3H6 Density=0.9 Thickness=10. microns
    10.000      0.00000
    29.980      0.00000
    49.960      0.26779E-38
    69.940      0.41998E-19
    89.920      0.74900E-11
    109.90      0.68886E-07
    129.88      0.10671E-04
    149.86      0.26623E-03
    169.84      0.21201E-02
    189.82      0.90274E-02
    209.80      0.28227E-01
    229.78      0.61376E-01
    249.76      0.10828
    269.74      0.17942
    289.72      0.25761E-16
    309.70      0.49509E-14
    329.68      0.35420E-12
    349.66      0.11870E-10
    369.64      0.22022E-09
    389.62      0.29859E-08
    409.60      0.29429E-07
    429.58      0.20289E-06
    449.56      0.10480E-05
    469.54      0.42780E-05
    489.52      0.14459E-04
    509.50      0.42244E-04
    529.48      0.10744E-03
    549.46      0.24323E-03
    569.44      0.49902E-03
    589.42      0.94150E-03
    609.40      0.16537E-02
    629.38      0.27311E-02
    649.36      0.42769E-02
    669.34      0.63954E-02
    689.32      0.90739E-02
    709.30      0.12480E-01
    729.28      0.17123E-01
    749.26      0.22860E-01
    769.24      0.29697E-01
    789.22      0.37664E-01
    809.20      0.46760E-01
    829.18      0.56958E-01
    849.16      0.68231E-01
    869.14      0.80565E-01
    889.12      0.93871E-01
    909.10      0.10803
    929.08      0.12296
    949.06      0.13863
    969.04      0.15488
    989.02      0.17162
    1009.0      0.18874
    1029.0      0.20612
    1049.0      0.22383
    1068.9      0.24191
    1088.9      0.26004
    1108.9      0.27818
    1128.9      0.29626
    1148.9      0.31419
    1168.8      0.33196
    1188.8      0.34951
    1208.8      0.36681
    1228.8      0.38384
    1248.8      0.40064
    1268.7      0.41721
    1288.7      0.43356
    1308.7      0.44955
    1328.7      0.46515
    1348.7      0.48038
    1368.6      0.49521
    1388.6      0.50964
    1408.6      0.52368
    1428.6      0.53732
    1448.6      0.55057
    1468.5      0.56344
    1488.5      0.57594
    1508.5      0.58811
    1528.5      0.59993
    1548.5      0.61138
    1568.4      0.62248
    1588.4      0.63322
    1608.4      0.64362
    1628.4      0.65369
    1648.4      0.66343
    1668.3      0.67286
    1688.3      0.68198
    1708.3      0.69080
    1728.3      0.69934
    1748.3      0.70766
    1768.2      0.71571
    1788.2      0.72351
    1808.2      0.73106
    1828.2      0.73836
    1848.2      0.74542
    1868.1      0.75225
    1888.1      0.75886
    1908.1      0.76526
    1928.1      0.77144
    1948.1      0.77743
    1968.0      0.78322
    1988.0      0.78883
    2008.0      0.79423
    2028.0      0.79945
    2048.0      0.80457
    2067.9      0.80952
    2087.9      0.81431
    2107.9      0.81896
    2127.9      0.82346
    2147.9      0.82783
    2167.8      0.83206
    2187.8      0.83617
    2207.8      0.84014
    2227.8      0.84400
    2247.8      0.84774
    2267.7      0.85137
    2287.7      0.85490
    2307.7      0.85831
    2327.7      0.86163
    2347.7      0.86485
    2367.6      0.86798
    2387.6      0.87101
