diffFlux,Energy,type
8.45234219e+17,0.001,Total flux
9.24524088e+18,0.011006004,Total flux
1.75184448e+19,0.021012008,Total flux
2.57093592e+19,0.031018012,Total flux
3.41640742e+19,0.041024016,Total flux
4.32113336e+19,0.05103002,Total flux
5.25413587e+19,0.061036024,Total flux
6.47050087e+19,0.071042028,Total flux
7.22603739e+19,0.081048032,Total flux
8.03167949e+19,0.091054036,Total flux
9.25086174e+19,0.10106004,Total flux
9.68856321e+19,0.11106604,Total flux
1.03734772e+20,0.12107205,Total flux
1.09541391e+20,0.13107805,Total flux
1.154123e+20,0.14108406,Total flux
1.27533078e+20,0.15109006,Total flux
1.36272434e+20,0.16109606,Total flux
1.36574251e+20,0.17110207,Total flux
1.40517046e+20,0.18110807,Total flux
1.49480631e+20,0.19111408,Total flux
1.54289884e+20,0.20112008,Total flux
1.56595284e+20,0.21112608,Total flux
1.60670474e+20,0.22113209,Total flux
1.65958614e+20,0.23113809,Total flux
1.71014416e+20,0.2411441,Total flux
1.75322586e+20,0.2511501,Total flux
1.80075588e+20,0.2611561,Total flux
1.84436286e+20,0.27116211,Total flux
1.88788588e+20,0.28116811,Total flux
1.92926885e+20,0.29117412,Total flux
1.9697603e+20,0.30118012,Total flux
2.00876869e+20,0.31118612,Total flux
2.04645739e+20,0.32119213,Total flux
2.08275703e+20,0.33119813,Total flux
2.11768408e+20,0.34120414,Total flux
2.15133403e+20,0.35121014,Total flux
2.18496326e+20,0.36121614,Total flux
2.22209451e+20,0.37122215,Total flux
2.25204376e+20,0.38122815,Total flux
2.28074124e+20,0.39123416,Total flux
2.30815805e+20,0.40124016,Total flux
2.33425227e+20,0.41124616,Total flux
2.35996525e+20,0.42125217,Total flux
2.38445752e+20,0.43125817,Total flux
2.40786506e+20,0.44126418,Total flux
2.43013675e+20,0.45127018,Total flux
2.45168749e+20,0.46127618,Total flux
2.47228402e+20,0.47128219,Total flux
2.49247318e+20,0.48128819,Total flux
2.51356211e+20,0.4912942,Total flux
2.54661987e+20,0.5013002,Total flux
2.56232917e+20,0.5113062,Total flux
2.57900178e+20,0.52131221,Total flux
2.59520238e+20,0.53131821,Total flux
2.61111026e+20,0.54132422,Total flux
2.62853765e+20,0.55133022,Total flux
2.64291053e+20,0.56133622,Total flux
2.65951654e+20,0.57134223,Total flux
2.66650302e+20,0.58134823,Total flux
2.67551513e+20,0.59135424,Total flux
2.68435987e+20,0.60136024,Total flux
2.6926359e+20,0.61136624,Total flux
2.70117505e+20,0.62137225,Total flux
2.71034846e+20,0.63137825,Total flux
2.72794591e+20,0.64138426,Total flux
2.83557245e+20,0.65139026,Total flux
2.8246229e+20,0.66139626,Total flux
2.8265932e+20,0.67140227,Total flux
2.82456608e+20,0.68140827,Total flux
2.83001887e+20,0.69141428,Total flux
2.83584123e+20,0.70142028,Total flux
2.84106554e+20,0.71142628,Total flux
2.84614299e+20,0.72143229,Total flux
2.85059745e+20,0.73143829,Total flux
2.87308512e+20,0.7414443,Total flux
2.8768364e+20,0.7514503,Total flux
2.88005203e+20,0.7614563,Total flux
2.88350821e+20,0.77146231,Total flux
2.88612924e+20,0.78146831,Total flux
2.88806797e+20,0.79147432,Total flux
2.89009749e+20,0.80148032,Total flux
2.89223958e+20,0.81148632,Total flux
2.89620503e+20,0.82149233,Total flux
2.89654127e+20,0.83149833,Total flux
2.89904154e+20,0.84150434,Total flux
2.90219667e+20,0.85151034,Total flux
2.90575388e+20,0.86151634,Total flux
2.91097157e+20,0.87152235,Total flux
2.91384516e+20,0.88152835,Total flux
2.91912711e+20,0.89153436,Total flux
2.92835907e+20,0.90154036,Total flux
2.94093266e+20,0.91154636,Total flux
2.97159225e+20,0.92155237,Total flux
2.93743051e+20,0.93155837,Total flux
2.93518115e+20,0.94156438,Total flux
2.94091975e+20,0.95157038,Total flux
2.94075497e+20,0.96157638,Total flux
2.93919989e+20,0.97158239,Total flux
2.94469281e+20,0.98158839,Total flux
2.95620987e+20,0.9915944,Total flux
2.96096117e+20,1.0016004,Total flux
2.96238903e+20,1.0116064,Total flux
3.13370524e+20,1.0216124,Total flux
3.00359454e+20,1.0316184,Total flux
2.99945234e+20,1.0416244,Total flux
3.09663227e+20,1.0516304,Total flux
3.00550222e+20,1.0616364,Total flux
2.95307016e+20,1.0716424,Total flux
2.93667721e+20,1.0816484,Total flux
2.90715873e+20,1.0916544,Total flux
2.89335295e+20,1.1016604,Total flux
2.87921358e+20,1.1116664,Total flux
2.8545343e+20,1.1216724,Total flux
2.84705625e+20,1.1316785,Total flux
2.82205609e+20,1.1416845,Total flux
2.80920374e+20,1.1516905,Total flux
2.79735477e+20,1.1616965,Total flux
2.78671595e+20,1.1717025,Total flux
2.77722744e+20,1.1817085,Total flux
2.77948283e+20,1.1917145,Total flux
2.77256016e+20,1.2017205,Total flux
2.76394759e+20,1.2117265,Total flux
2.75650679e+20,1.2217325,Total flux
2.75080519e+20,1.2317385,Total flux
2.74204919e+20,1.2417445,Total flux
2.74226402e+20,1.2517505,Total flux
2.7328346e+20,1.2617565,Total flux
2.72237109e+20,1.2717625,Total flux
2.72043463e+20,1.2817685,Total flux
2.71340428e+20,1.2917745,Total flux
2.71064416e+20,1.3017805,Total flux
2.71104351e+20,1.3117865,Total flux
2.71657846e+20,1.3217925,Total flux
2.73164561e+20,1.3317985,Total flux
2.74387136e+20,1.3418045,Total flux
2.78351952e+20,1.3518105,Total flux
2.69078564e+20,1.3618165,Total flux
2.65827155e+20,1.3718225,Total flux
2.64270253e+20,1.3818286,Total flux
2.61591073e+20,1.3918346,Total flux
2.60122598e+20,1.4018406,Total flux
2.59686355e+20,1.4118466,Total flux
2.56864076e+20,1.4218526,Total flux
2.56108342e+20,1.4318586,Total flux
2.5555153e+20,1.4418646,Total flux
2.55261009e+20,1.4518706,Total flux
2.54920711e+20,1.4618766,Total flux
2.6401649e+20,1.4718826,Total flux
2.52490173e+20,1.4818886,Total flux
2.51096512e+20,1.4918946,Total flux
2.5031208e+20,1.5019006,Total flux
2.48086267e+20,1.5119066,Total flux
2.46431927e+20,1.5219126,Total flux
2.45592627e+20,1.5319186,Total flux
2.45094077e+20,1.5419246,Total flux
2.43454315e+20,1.5519306,Total flux
2.4330904e+20,1.5619366,Total flux
2.41878601e+20,1.5719426,Total flux
2.41217451e+20,1.5819486,Total flux
2.41123745e+20,1.5919546,Total flux
2.39134961e+20,1.6019606,Total flux
2.3749733e+20,1.6119666,Total flux
2.37687722e+20,1.6219726,Total flux
2.34753796e+20,1.6319787,Total flux
2.33596005e+20,1.6419847,Total flux
2.32472587e+20,1.6519907,Total flux
2.3187051e+20,1.6619967,Total flux
2.30388319e+20,1.6720027,Total flux
2.29336367e+20,1.6820087,Total flux
2.28194857e+20,1.6920147,Total flux
2.27785147e+20,1.7020207,Total flux
2.26878772e+20,1.7120267,Total flux
2.27683233e+20,1.7220327,Total flux
2.26912273e+20,1.7320387,Total flux
2.25368956e+20,1.7420447,Total flux
2.25487018e+20,1.7520507,Total flux
2.26953299e+20,1.7620567,Total flux
2.25133236e+20,1.7720627,Total flux
