diffFlux,Energy,type
8.26932688e+17,0.001,Total flux
9.04505725e+18,0.011006004,Total flux
1.71391246e+19,0.021012008,Total flux
2.51526844e+19,0.031018012,Total flux
3.34243327e+19,0.041024016,Total flux
4.22756952e+19,0.05103002,Total flux
5.14037009e+19,0.061036024,Total flux
6.33039761e+19,0.071042028,Total flux
7.06957479e+19,0.081048032,Total flux
7.85777263e+19,0.091054036,Total flux
9.05055639e+19,0.10106004,Total flux
9.47878048e+19,0.11106604,Total flux
1.01488643e+20,0.12107205,Total flux
1.07169534e+20,0.13107805,Total flux
1.12913322e+20,0.14108406,Total flux
1.24771653e+20,0.15109006,Total flux
1.3332178e+20,0.16109606,Total flux
1.33617062e+20,0.17110207,Total flux
1.37474485e+20,0.18110807,Total flux
1.46243985e+20,0.19111408,Total flux
1.50949105e+20,0.20112008,Total flux
1.53204587e+20,0.21112608,Total flux
1.57191539e+20,0.22113209,Total flux
1.62365177e+20,0.23113809,Total flux
1.67311507e+20,0.2411441,Total flux
1.71526394e+20,0.2511501,Total flux
1.7617648e+20,0.2611561,Total flux
1.80442758e+20,0.27116211,Total flux
1.84700822e+20,0.28116811,Total flux
1.88749513e+20,0.29117412,Total flux
1.92710983e+20,0.30118012,Total flux
1.9652736e+20,0.31118612,Total flux
2.00214624e+20,0.32119213,Total flux
2.0376599e+20,0.33119813,Total flux
2.07183068e+20,0.34120414,Total flux
2.10475202e+20,0.35121014,Total flux
2.13765309e+20,0.36121614,Total flux
2.17398036e+20,0.37122215,Total flux
2.20328113e+20,0.38122815,Total flux
2.23135723e+20,0.39123416,Total flux
2.25818039e+20,0.40124016,Total flux
2.28370961e+20,0.41124616,Total flux
2.30886583e+20,0.42125217,Total flux
2.33282778e+20,0.43125817,Total flux
2.35572849e+20,0.44126418,Total flux
2.37751794e+20,0.45127018,Total flux
2.39860204e+20,0.46127618,Total flux
2.41875261e+20,0.47128219,Total flux
2.43850462e+20,0.48128819,Total flux
2.45913692e+20,0.4912942,Total flux
2.49147889e+20,0.5013002,Total flux
2.50684804e+20,0.5113062,Total flux
2.52315964e+20,0.52131221,Total flux
2.53900947e+20,0.53131821,Total flux
2.5545729e+20,0.54132422,Total flux
2.57162294e+20,0.55133022,Total flux
2.5856846e+20,0.56133622,Total flux
2.60193106e+20,0.57134223,Total flux
2.60876626e+20,0.58134823,Total flux
2.61758323e+20,0.59135424,Total flux
2.62623646e+20,0.60136024,Total flux
2.63433329e+20,0.61136624,Total flux
2.64268755e+20,0.62137225,Total flux
2.65166233e+20,0.63137825,Total flux
2.66887875e+20,0.64138426,Total flux
2.77417489e+20,0.65139026,Total flux
2.76346243e+20,0.66139626,Total flux
2.76539007e+20,0.67140227,Total flux
2.76340684e+20,0.68140827,Total flux
2.76874157e+20,0.69141428,Total flux
2.77443786e+20,0.70142028,Total flux
2.77954904e+20,0.71142628,Total flux
2.78451656e+20,0.72143229,Total flux
2.78887456e+20,0.73143829,Total flux
2.81087532e+20,0.7414443,Total flux
2.81454537e+20,0.7514503,Total flux
2.81769137e+20,0.7614563,Total flux
2.82107272e+20,0.77146231,Total flux
2.823637e+20,0.78146831,Total flux
2.82553375e+20,0.79147432,Total flux
2.82751933e+20,0.80148032,Total flux
2.82961503e+20,0.81148632,Total flux
2.83349461e+20,0.82149233,Total flux
2.83382358e+20,0.83149833,Total flux
2.83626971e+20,0.84150434,Total flux
2.83935652e+20,0.85151034,Total flux
2.84283671e+20,0.86151634,Total flux
2.84794143e+20,0.87152235,Total flux
2.8507528e+20,0.88152835,Total flux
2.85592038e+20,0.89153436,Total flux
2.86495244e+20,0.90154036,Total flux
2.87725377e+20,0.91154636,Total flux
2.9072495e+20,0.92155237,Total flux
2.87382746e+20,0.93155837,Total flux
2.8716268e+20,0.94156438,Total flux
2.87724115e+20,0.95157038,Total flux
2.87707993e+20,0.96157638,Total flux
2.87555853e+20,0.97158239,Total flux
2.88093251e+20,0.98158839,Total flux
2.8922002e+20,0.9915944,Total flux
2.89684862e+20,1.0016004,Total flux
2.89824556e+20,1.0116064,Total flux
3.06585233e+20,1.0216124,Total flux
2.93855887e+20,1.0316184,Total flux
2.93450636e+20,1.0416244,Total flux
3.02958209e+20,1.0516304,Total flux
2.94042524e+20,1.0616364,Total flux
2.88912847e+20,1.0716424,Total flux
2.87309047e+20,1.0816484,Total flux
2.84421114e+20,1.0916544,Total flux
2.83070429e+20,1.1016604,Total flux
2.81687108e+20,1.1116664,Total flux
2.79272617e+20,1.1216724,Total flux
2.78541004e+20,1.1316785,Total flux
2.76095119e+20,1.1416845,Total flux
2.74837713e+20,1.1516905,Total flux
2.73678472e+20,1.1616965,Total flux
2.72637626e+20,1.1717025,Total flux
2.71709321e+20,1.1817085,Total flux
2.71929976e+20,1.1917145,Total flux
2.71252698e+20,1.2017205,Total flux
2.7041009e+20,1.2117265,Total flux
2.69682121e+20,1.2217325,Total flux
2.69124307e+20,1.2317385,Total flux
2.68267666e+20,1.2417445,Total flux
2.68288684e+20,1.2517505,Total flux
2.67366159e+20,1.2617565,Total flux
2.66342463e+20,1.2717625,Total flux
2.66153011e+20,1.2817685,Total flux
2.65465198e+20,1.2917745,Total flux
2.65195163e+20,1.3017805,Total flux
2.65234233e+20,1.3117865,Total flux
2.65775744e+20,1.3217925,Total flux
2.67249834e+20,1.3317985,Total flux
2.68445937e+20,1.3418045,Total flux
2.72324904e+20,1.3518105,Total flux
2.63252309e+20,1.3618165,Total flux
2.60071302e+20,1.3718225,Total flux
2.58548111e+20,1.3818286,Total flux
2.55926943e+20,1.3918346,Total flux
2.54490264e+20,1.4018406,Total flux
2.54063467e+20,1.4118466,Total flux
2.51302297e+20,1.4218526,Total flux
2.50562927e+20,1.4318586,Total flux
2.50018171e+20,1.4418646,Total flux
2.49733941e+20,1.4518706,Total flux
2.49401012e+20,1.4618766,Total flux
2.58299843e+20,1.4718826,Total flux
2.470231e+20,1.4818886,Total flux
2.45659616e+20,1.4918946,Total flux
2.44892169e+20,1.5019006,Total flux
2.4271455e+20,1.5119066,Total flux
2.41096031e+20,1.5219126,Total flux
2.40274904e+20,1.5319186,Total flux
2.3978715e+20,1.5419246,Total flux
2.38182893e+20,1.5519306,Total flux
2.38040763e+20,1.5619366,Total flux
2.36641297e+20,1.5719426,Total flux
2.35994462e+20,1.5819486,Total flux
2.35902786e+20,1.5919546,Total flux
2.33957064e+20,1.6019606,Total flux
2.32354892e+20,1.6119666,Total flux
2.32541161e+20,1.6219726,Total flux
2.29670763e+20,1.6319787,Total flux
2.2853804e+20,1.6419847,Total flux
2.27438947e+20,1.6519907,Total flux
2.26849907e+20,1.6619967,Total flux
2.25399809e+20,1.6720027,Total flux
2.24370635e+20,1.6820087,Total flux
2.23253842e+20,1.6920147,Total flux
2.22853003e+20,1.7020207,Total flux
2.21966253e+20,1.7120267,Total flux
2.22753296e+20,1.7220327,Total flux
2.21999029e+20,1.7320387,Total flux
2.20489129e+20,1.7420447,Total flux
2.20604634e+20,1.7520507,Total flux
2.22039167e+20,1.7620567,Total flux
2.20258513e+20,1.7720627,Total flux
2.20404714e+20,1.7820687,Total flux
2.21076819e+20,1.7920747,Total flux
2.22326521e+20,1.8020807,Total flux
2.24180048e+20,1.8120867,Total flux
2.27021694e+20,1.8220927,Total flux
2.31805064e+20,1.8320987,Total flux
2.4000155e+20,1.8421047,Total flux
2.46290231e+20,1.8521107,Total flux
2.64355957e+20,1.8621167,Total flux
2.3216184e+20,1.8721227,Total flux
2.21482757e+20,1.8821288,Total flux
2.15373382e+20,1.8921348,Total flux
2.11255179e+20,1.9021408,Total flux
2.07838909e+20,1.9121468,Total flux
2.05093959e+20,1.9221528,Total flux
2.03277236e+20,1.9321588,Total flux
2.01738191e+20,1.9421648,Total flux
2.01039722e+20,1.9521708,Total flux
1.99640939e+20,1.9621768,Total flux
1.98113564e+20,1.9721828,Total flux
1.96948651e+20,1.9821888,Total flux
1.98686967e+20,1.9921948,Total flux
2.22903969e+20,2.0022008,Total flux
1.94855941e+20,2.0122068,Total flux
1.93020689e+20,2.0222128,Total flux
1.91883295e+20,2.0322188,Total flux
1.9096949e+20,2.0422248,Total flux
1.89605866e+20,2.0522308,Total flux
1.87130479e+20,2.0622368,Total flux
1.85672225e+20,2.0722428,Total flux
1.84660101e+20,2.0822488,Total flux
1.83523001e+20,2.0922548,Total flux
1.82489088e+20,2.1022608,Total flux
1.81577092e+20,2.1122668,Total flux
1.80675498e+20,2.1222728,Total flux
1.79791926e+20,2.1322789,Total flux
1.78873273e+20,2.1422849,Total flux
1.77946964e+20,2.1522909,Total flux
1.77104193e+20,2.1622969,Total flux
1.76385029e+20,2.1723029,Total flux
1.75460385e+20,2.1823089,Total flux
1.74342723e+20,2.1923149,Total flux
1.73341514e+20,2.2023209,Total flux
1.72340726e+20,2.2123269,Total flux
1.71389723e+20,2.2223329,Total flux
1.70484517e+20,2.2323389,Total flux
1.69592606e+20,2.2423449,Total flux
1.68708083e+20,2.2523509,Total flux
1.6784996e+20,2.2623569,Total flux
1.67019116e+20,2.2723629,Total flux
1.66222823e+20,2.2823689,Total flux
1.65465848e+20,2.2923749,Total flux
1.64755717e+20,2.3023809,Total flux
1.64107854e+20,2.3123869,Total flux
1.63545397e+20,2.3223929,Total flux
